train_lang,test_lang,exact_match,suffix_overlap,vowel_overlap,intra_family,syntactic_distance,phonological_distance,genetic_distance
aze,fin,0.2244418331374853,0.03,0.5,0.0,1.0,1.0,1.0
aze,hun,0.2530653877037262,0.0,0.4117647058823529,0.0,1.0,1.0,1.0
aze,tur,0.6487835308796007,0.32954545454545453,1.0,1.0,1.0,1.0,1.0
fin,aze,0.6342857142857142,0.03,0.5,0.0,1.0,1.0,1.0
fin,hun,0.3072549317476508,0.02654867256637168,0.375,1.0,1.0,1.0,1.0
fin,tur,0.4107142857142857,0.03636363636363636,0.5,0.0,1.0,1.0,1.0
hun,aze,0.10571428571428572,0.0,0.4117647058823529,0.0,1.0,1.0,1.0
hun,fin,0.18801410105757932,0.02654867256637168,0.375,1.0,1.0,1.0,1.0
hun,tur,0.0765751715533375,0.0,0.4117647058823529,0.0,1.0,1.0,1.0
tur,aze,0.4542857142857143,0.32954545454545453,1.0,1.0,1.0,1.0,1.0
tur,fin,0.21504112808460635,0.03636363636363636,0.5,0.0,1.0,1.0,1.0
tur,hun,0.14394843638099786,0.0,0.4117647058823529,0.0,1.0,1.0,1.0
