run,best_val_em,test_metrics,config
aze_seed42,0.9842632331902719,"{'exact_match': 0.9742857142857143, 'stem_accuracy': 0.98, 'suffix_accuracy': 0.9771428571428571, 'n_total': 350}","{'data_path': 'data/morph_aze.tsv', 'output_dir': 'experiments/aze_seed42', 'model_name': 'google/byt5-small', 'epochs': 20, 'batch_size': 16, 'learning_rate': 0.0001, 'gradient_accumulation_steps': 4, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_input_len': 64, 'max_target_len': 96, 'early_stopping_patience': 5, 'seed': 42, 'fp16': False, 'bf16': False, 'no_amp': True, 'resume': True}"
aze_seed123,0.9542203147353362,"{'exact_match': 0.9657142857142857, 'stem_accuracy': 0.9657142857142857, 'suffix_accuracy': 0.9685714285714285, 'n_total': 350}","{'data_path': 'data/morph_aze.tsv', 'output_dir': '/cross-family-morph/experiments/aze_seed123', 'model_name': 'google/byt5-small', 'epochs': 5, 'batch_size': 16, 'learning_rate': 0.0001, 'gradient_accumulation_steps': 4, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_input_len': 64, 'max_target_len': 96, 'early_stopping_patience': 5, 'seed': 123, 'fp16': False, 'bf16': False, 'no_amp': True, 'resume': True}"
aze_seed456,0.9399141630901288,"{'exact_match': 0.9371428571428572, 'stem_accuracy': 0.94, 'suffix_accuracy': 0.9428571428571428, 'n_total': 350}","{'data_path': 'data/morph_aze.tsv', 'output_dir': '/cross-family-morph/experiments/aze_seed456', 'model_name': 'google/byt5-small', 'epochs': 5, 'batch_size': 16, 'learning_rate': 0.0001, 'gradient_accumulation_steps': 4, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_input_len': 64, 'max_target_len': 96, 'early_stopping_patience': 5, 'seed': 456, 'fp16': False, 'bf16': False, 'no_amp': True, 'resume': True}"
tur_seed42,0.9743039850269047,"{'exact_match': 0.9748128509045539, 'stem_accuracy': 0.9748128509045539, 'suffix_accuracy': 0.9748908296943232, 'n_total': 12824}","{'data_path': 'data/morph_tur.tsv', 'output_dir': 'experiments/tur_seed42', 'model_name': 'google/byt5-small', 'epochs': 20, 'batch_size': 16, 'learning_rate': 0.0001, 'gradient_accumulation_steps': 4, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_input_len': 64, 'max_target_len': 96, 'early_stopping_patience': 5, 'seed': 42, 'fp16': False, 'bf16': False, 'no_amp': True, 'resume': True}"
tur_seed123,0.9743039850269047,"{'exact_match': 0.9741110417966313, 'stem_accuracy': 0.9741890205864004, 'suffix_accuracy': 0.9741110417966313, 'n_total': 12824}","{'data_path': 'data/morph_tur.tsv', 'output_dir': '/cross-family-morph/experiments/tur_seed123', 'model_name': 'google/byt5-small', 'epochs': 5, 'batch_size': 16, 'learning_rate': 0.0001, 'gradient_accumulation_steps': 4, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_input_len': 64, 'max_target_len': 96, 'early_stopping_patience': 5, 'seed': 123, 'fp16': False, 'bf16': False, 'no_amp': True, 'resume': True}"
tur_seed456,0.9718474615924511,"{'exact_match': 0.972239550842171, 'stem_accuracy': 0.972239550842171, 'suffix_accuracy': 0.9726294447910169, 'n_total': 12824}","{'data_path': 'data/morph_tur.tsv', 'output_dir': '/cross-family-morph/experiments/tur_seed456', 'model_name': 'google/byt5-small', 'epochs': 5, 'batch_size': 16, 'learning_rate': 0.0001, 'gradient_accumulation_steps': 4, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_input_len': 64, 'max_target_len': 96, 'early_stopping_patience': 5, 'seed': 456, 'fp16': False, 'bf16': False, 'no_amp': True, 'resume': True}"
hun_seed42,0.9609787857414139,"{'exact_match': 0.9615009006271837, 'stem_accuracy': 0.9617830248052258, 'suffix_accuracy': 0.9633455587143819, 'n_total': 46079}","{'data_path': 'data/morph_hun.tsv', 'output_dir': 'experiments/hun_seed42', 'model_name': 'google/byt5-small', 'epochs': 5, 'batch_size': 16, 'learning_rate': 0.0001, 'gradient_accumulation_steps': 4, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_input_len': 64, 'max_target_len': 96, 'early_stopping_patience': 5, 'seed': 42, 'fp16': False, 'bf16': False, 'no_amp': True, 'resume': True}"
hun_seed123,0.9707449405892247,"{'exact_match': 0.9704203650252826, 'stem_accuracy': 0.9708761040821199, 'suffix_accuracy': 0.9715488617374509, 'n_total': 46079}","{'data_path': 'data/morph_hun.tsv', 'output_dir': '/cross-family-morph/experiments/hun_seed123', 'model_name': 'google/byt5-small', 'epochs': 5, 'batch_size': 16, 'learning_rate': 0.0001, 'gradient_accumulation_steps': 4, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_input_len': 64, 'max_target_len': 96, 'early_stopping_patience': 5, 'seed': 123, 'fp16': False, 'bf16': False, 'no_amp': True, 'resume': True}"
hun_seed456,0.9784385003526667,"{'exact_match': 0.9785585624688036, 'stem_accuracy': 0.9790143015256407, 'suffix_accuracy': 0.9796436554612731, 'n_total': 46079}","{'data_path': 'data/morph_hun.tsv', 'output_dir': '/cross-family-morph/experiments/hun_seed456', 'model_name': 'google/byt5-small', 'epochs': 5, 'batch_size': 16, 'learning_rate': 0.0001, 'gradient_accumulation_steps': 4, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_input_len': 64, 'max_target_len': 96, 'early_stopping_patience': 5, 'seed': 456, 'fp16': False, 'bf16': False, 'no_amp': True, 'resume': True}"
fin_seed42,0.9026444662095985,"{'exact_match': 0.8969839404622013, 'stem_accuracy': 0.8969839404622013, 'suffix_accuracy': 0.8969839404622013, 'n_total': 2553}","{'data_path': 'data/morph_fin.tsv', 'output_dir': 'experiments/fin_seed42', 'model_name': 'google/byt5-small', 'epochs': 20, 'batch_size': 16, 'learning_rate': 0.0001, 'gradient_accumulation_steps': 4, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_input_len': 64, 'max_target_len': 96, 'early_stopping_patience': 5, 'seed': 42, 'fp16': False, 'bf16': False, 'no_amp': True, 'resume': True}"
